"cost" "thr" "target.size" "theta" "h2" "Ne" "mu" "rho" "b" "gamma" "env.sd" "norm.prev"
"33" 0.97 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000739471021803384
"34" 1 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000715431841346148
"35" 0.01 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 NA
"36" 0.04 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.097709112890213
"37" 0.07 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.047264017374863
"38" 0.1 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0305205208579091
"39" 0.13 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.022301341224379
"40" 0.16 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0174620907594859
"41" 0.19 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0142913021594246
"42" 0.22 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0120613723862862
"43" 0.25 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0104120581292158
"44" 0.28 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00914524773334202
"45" 0.31 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00814325133318228
"46" 0.34 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00733188604567214
"47" 0.37 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00666214203552395
"48" 0.4 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0061003783406649
"49" 0.43 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00562275894023101
"50" 0.46 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00521193687513455
"51" 0.49 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00485499538978296
"52" 0.52 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00454212416337996
"53" 0.55 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00426574218462317
"54" 0.58 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00401990114033923
"55" 0.61 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00379987014885597
"56" 0.64 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00360184075428338
"57" 0.67 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00342271349965317
"58" 0.7 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00325994097124926
"59" 0.73 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00311141065295661
"60" 0.76 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00297535631185963
"61" 0.79 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.0028502901407288
"62" 0.82 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00273495020970282
"63" 0.85 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00262825935194266
"64" 0.88 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00252929268825941
"65" 0.91 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00243725174899934
"66" 0.94 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00235144368406992
"67" 0.97 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00227126443341308
"68" 1 36485.1047612713 1e+05 0.004 0.5 1000 1e-06 0.182425523806356 0.635148952387287 1.5 8.80663584476699 0.00219618500665852
"69" 0.01 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 NA
"70" 0.04 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.174634899284117
"71" 0.07 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0788918320798009
"72" 0.1 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0499014654915969
"73" 0.13 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.036074970705459
"74" 0.16 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0280565467015366
"75" 0.19 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0228529919457503
"76" 0.22 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0192182061137605
