as Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve maxG bigU thr
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 500 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 697 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 973 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 1357 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 1893 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 2641 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 3684 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 5139 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 7169 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9171492.10151763 0.345798924145924 0.327100537927038 15.0913891979968 54899 1 0 0.4 0.3 10000 1e-08 0.1 191.759638897645 19999988.5541969 0.0799999542167877 6000001
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 500 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 697 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 973 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 1357 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 1893 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 2641 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 3684 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 5139 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 7169 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
1 9410771.10780043 0.362432692150291 0.318783653924855 27.6915331248013 21278 1 0 0.400000000000985 0.299999999999507 10000 1e-08 0.1 190.915647042579 19999983.0992599 0.0799999323970396 6000000.99999014
