"cost" "thr" "target.size" "theta" "h2" "Ne" "rho" "b" "gamma" "env.sd" "norm.prev"
"21" 0.5 13257.8160693599 1e+05 0.02 0.19 5000 0.0662890803467997 0.867421839306401 2.64514169947986 66.251185373574 6.54640181707578e-05
"22" 0.5 24136.7053461806 1e+05 0.02 0.19 5000 0.120683526730903 0.758632946538194 1.98597323304952 57.0702613321279 4.28433057929611e-05
"23" 0.5 43942.4217322447 1e+05 0.02 0.19 5000 0.219712108661223 0.560575782677553 1.26734485064893 51.516386032455 2.49136849742593e-05
"24" 0.5 79999.9999999999 1e+05 0.02 0.19 5000 0.4 0.200000000000001 0.405465108108166 46.8594244872585 7.10746069898516e-06
"25" 0.5 4000 1e+05 0.02 0.25 5000 0.02 0.96 3.89182029811063 28.9830200739798 4.86912159094466e-05
"26" 0.5 7282.25681210432 1e+05 0.02 0.25 5000 0.0364112840605216 0.927177431878957 3.27578583209134 27.3931435768486 4.02997618771384e-05
"27" 0.5 13257.8160693599 1e+05 0.02 0.25 5000 0.0662890803467997 0.867421839306401 2.64514169947986 26.1271928563571 3.24288288392482e-05
"28" 0.5 24136.7053461806 1e+05 0.02 0.25 5000 0.120683526730903 0.758632946538194 1.98597323304952 25.0016726393647 2.4435808841039e-05
"29" 0.5 43942.4217322447 1e+05 0.02 0.25 5000 0.219712108661223 0.560575782677553 1.26734485064893 23.7822065970063 1.55722170969153e-05
"30" 0.5 79999.9999999999 1e+05 0.02 0.25 5000 0.4 0.200000000000001 0.405465108108166 22.0431075982402 4.74661495453166e-06
"31" 0.5 4000 1e+05 0.02 0.31 5000 0.02 0.96 3.89182029811063 13.5081127496724 3.3988724980949e-05
"32" 0.5 7282.25681210432 1e+05 0.02 0.31 5000 0.0364112840605216 0.927177431878957 3.27578583209134 12.2668986034294 2.92218540052236e-05
"33" 0.5 13257.8160693599 1e+05 0.02 0.31 5000 0.0662890803467997 0.867421839306401 2.64514169947986 10.7582558820294 2.4247150422374e-05
"34" 0.5 24136.7053461806 1e+05 0.02 0.31 5000 0.120683526730903 0.758632946538194 1.98597323304952 8.69250022987833 1.87400621466383e-05
"35" 0.5 43942.4217322447 1e+05 0.02 0.31 5000 0.219712108661223 0.560575782677553 1.26734485064893 5.23069649995963 1.22016289625382e-05
"36" 0.5 79999.9999999999 1e+05 0.02 0.31 5000 0.4 0.200000000000001 0.405465108108166 0 3.84938876685226e-06
"37" 0.5 4000 1e+05 0.02 0.37 5000 0.02 0.96 3.89182029811063 220.999770268707 0.000334065983157328
"38" 0.5 7282.25681210432 1e+05 0.02 0.37 5000 0.0364112840605216 0.927177431878957 3.27578583209134 86.7223680039436 0.000105590641856446
"39" 0.5 13257.8160693599 1e+05 0.02 0.37 5000 0.0662890803467997 0.867421839306401 2.64514169947986 66.251185373574 6.54640181707578e-05
"40" 0.5 24136.7053461806 1e+05 0.02 0.37 5000 0.120683526730903 0.758632946538194 1.98597323304952 57.0702613321279 4.28433057929611e-05
"41" 0.5 43942.4217322447 1e+05 0.02 0.37 5000 0.219712108661223 0.560575782677553 1.26734485064893 51.516386032455 2.49136849742593e-05
"42" 0.5 79999.9999999999 1e+05 0.02 0.37 5000 0.4 0.200000000000001 0.405465108108166 46.8594244872585 7.10746069898516e-06
"43" 0.5 4000 1e+05 0.02 0.43 5000 0.02 0.96 3.89182029811063 28.9830200739798 4.86912159094466e-05
"44" 0.5 7282.25681210432 1e+05 0.02 0.43 5000 0.0364112840605216 0.927177431878957 3.27578583209134 27.3931435768486 4.02997618771384e-05
"45" 0.5 13257.8160693599 1e+05 0.02 0.43 5000 0.0662890803467997 0.867421839306401 2.64514169947986 26.1271928563571 3.24288288392482e-05
"46" 0.5 24136.7053461806 1e+05 0.02 0.43 5000 0.120683526730903 0.758632946538194 1.98597323304952 25.0016726393647 2.4435808841039e-05
"47" 0.5 43942.4217322447 1e+05 0.02 0.43 5000 0.219712108661223 0.560575782677553 1.26734485064893 23.7822065970063 1.55722170969153e-05
"48" 0.5 79999.9999999999 1e+05 0.02 0.43 5000 0.4 0.200000000000001 0.405465108108166 22.0431075982402 4.74661495453166e-06
"49" 0.5 4000 1e+05 0.02 0.49 5000 0.02 0.96 3.89182029811063 13.5081127496724 3.3988724980949e-05
"50" 0.5 7282.25681210432 1e+05 0.02 0.49 5000 0.0364112840605216 0.927177431878957 3.27578583209134 12.2668986034294 2.92218540052236e-05
"51" 0.5 13257.8160693599 1e+05 0.02 0.49 5000 0.0662890803467997 0.867421839306401 2.64514169947986 10.7582558820294 2.4247150422374e-05
"52" 0.5 24136.7053461806 1e+05 0.02 0.49 5000 0.120683526730903 0.758632946538194 1.98597323304952 8.69250022987833 1.87400621466383e-05
"53" 0.5 43942.4217322447 1e+05 0.02 0.49 5000 0.219712108661223 0.560575782677553 1.26734485064893 5.23069649995963 1.22016289625382e-05
"54" 0.5 79999.9999999999 1e+05 0.02 0.49 5000 0.4 0.200000000000001 0.405465108108166 0 3.84938876685226e-06
"55" 0.5 4000 1e+05 0.02 0.55 5000 0.02 0.96 3.89182029811063 220.999770268707 0.000334065983157328
"56" 0.5 7282.25681210432 1e+05 0.02 0.55 5000 0.0364112840605216 0.927177431878957 3.27578583209134 86.7223680039436 0.000105590641856446
