as Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve maxG bigU thr
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.65 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.71 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.77 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.83 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.89 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.95 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 1 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.05 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.11 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.17 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.23 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.29 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.35 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.41 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.47 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.53 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.59 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.65 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.71 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.77 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.83 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.89 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 0.95 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9969131.83251847 0.147368081513982 0.426315959243009 68.538685341933 450 1 0 0.149999999999974 0.425000000000013 1000 1e-08 1 397.087546033349 19999948.4818447 0.029999922722767 8500001.00000026
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.05 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.11 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.17 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.23 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.29 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.35 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.41 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.47 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.53 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.59 397.060086074586 20000061.9743165 0.0300000929614748 8500001
