as std.as std.al phit ft std.ft ys yl Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve norm.sd h2s h2l h2 h2os h2ol prev deltas deltal maxG bigU_small bigU_large bigU thr mean.nl tstar
1 0.0292034152939177 0.233627322351342 0.0131058423625798 0.000360563484554354 0.0123466204526239 1.44225393821742 18.7954739911421 8976695.37264358 0.617606888081266 0.191196555959367 8 1023305 1 0 0.800000000000426 0.099999999999787 1000 1e-08 1 586.276808965726 0.873079211435506 0.262267309440846 0.237732690559154 0.5 0.00896788822653904 0.0215713862427032 0.00447815762911675 0.000360563484554354 0.00469886849778552 34326270.7452872 0.110881377887038 0.1637288 0.274610165962297 3432627.47829168 4.35553635024555 3.68863968153719
1 0.027677643697364 0.23388796226334 0.0137643231441074 0.000359524162050438 0.0129896954372846 1.43809664820175 16.305249034124 9019725.51039518 0.616319466907046 0.191840266546477 8.45042897512316 980274 1 0 0.800000000000268 0.0999999999998662 1000 1e-08 1 652.697239471101 0.858426982256844 0.236896883866592 0.263103116133408 0.5 0.00848912848930854 0.0169727011103303 0.00473100824075562 0.000359524162050438 0.004076312258531 34606922.6471101 0.111180648364293 0.165674716263198 0.276855381176881 3460694.09218054 4.809614315259 3.78197211640954
1 0.027860593773756 0.24788974086701 0.0137867235869739 0.000361471009419354 0.0129742751484303 1.44588403767742 17.5582483353005 9075508.97896362 0.618728350009546 0.190635824995227 8.8975038680086 924491 1 0 0.800000000000126 0.0999999999999371 1000 1e-08 1 644.153347900297 0.860907463651776 0.241161660971334 0.258838339028666 0.5 0.0086058197923175 0.0172056729137067 0.00473964179235272 0.000361471009419354 0.00438956208382514 34602342.4548055 0.11230549392102 0.164513244968783 0.276818739638444 3460235.28291264 4.21222437856838 3.70346276593059
1 0.0280763358481823 0.26387447556397 0.0138074362878314 0.00036367919231963 0.0129532284513962 1.45471676927852 19.0270248290616 9132497.3923219 0.621446576274267 0.189276711862867 9.39846556156128 867503 1 0 0.800000000000003 0.0999999999999986 1000 1e-08 1 634.291872736041 0.863729524213941 0.24602869099884 0.25397130900116 0.5 0.00873639013157945 0.0174663392673744 0.00474762671136914 0.00036367919231963 0.00475675620726539 34571388.924746 0.113507184745842 0.163063941401022 0.276571111397968 3457139.15502979 3.64745456726622 3.62433983997177
1 0.0283151109273711 0.281102035669215 0.0138249817040843 0.000366042177468067 0.0129274498838084 1.46416870987227 20.6571921621595 9187201.02594521 0.624338880417575 0.187830559791212 9.92763321288932 812799 1 0 0.799999999999966 0.100000000000017 1000 1e-08 1 623.639291696631 0.866757781474232 0.251269051746133 0.248730948253867 0.5 0.00887440959184993 0.0177418614571902 0.00475439200892816 0.000366042177468067 0.00516429804053988 34512742.7474969 0.114718536054197 0.161383406956065 0.276101941979975 3451275.22323538 3.14776168096535 3.54948397192001
1 0.0285780077134063 0.299685990498964 0.013839424006619 0.000368571911193847 0.0128970470891484 1.47428764477539 22.4725340399959 9239687.29562922 0.627416424650732 0.186291787674634 10.4865949195744 760313 1 0 0.799999999999977 0.100000000000012 1000 1e-08 1 612.218016689873 0.870007041415281 0.25691225211217 0.24308774788783 0.5 0.00902057217821455 0.0180336234535567 0.0047599617420087 0.000368571911193847 0.00561813350999897 34425563.4774311 0.11594263135829 0.159461888861727 0.275404507819449 3442556.72771474 2.70663807834969 3.47874125497726
1 0.0288484708510027 0.31852734346375 0.0138501920672385 0.000371116615392916 0.0128643426998148 1.48446646157166 24.3755023918362 9287120.68996137 0.6304925313442 0.1847537343279 11.0413943639817 712879 1 0 0.799999999997417 0.100000000001292 1000 1e-08 1 600.79237032015 0.873280625807696 0.262619051411082 0.237380948588918 0.5 0.009166280907368 0.0183244657792242 0.00476411505136736 0.000371116615392916 0.00609387559795904 34316597.7255245 0.117109204654257 0.157423563456018 0.274532781804196 3431661.45724853 2.33965823088804 3.41578359584591
1 0.0291613593512982 0.340110825443965 0.0138586624623513 0.000374007332890799 0.0128254423391326 1.4960293315632 26.635939125698 9335493.29443512 0.633963036306053 0.183018481846974 11.663064857394 664507 1 0 0.799999999990757 0.100000000004622 1000 1e-08 1 587.969062268879 0.877002161595644 0.269132791443432 0.230867208556568 0.5 0.009330538823867 0.0186523170594527 0.00476738247418456 0.0003740073328908 0.00665898478142451 34171363.0672549 0.118367153487098 0.155003764783847 0.273370904538039 3417136.62008023 1.99581986557034 3.35260404265955
1 0.0295015816402051 0.363451746103018 0.0138641095556681 0.000377104794773813 0.0127825280479163 1.50841917909525 29.1815915235986 9381842.30909862 0.637653622198591 0.181173188900704 12.3197376512079 618158 1 0 0.79999999998883 0.100000000005585 1000 1e-08 1 574.48594011988 0.880988868648748 0.276141386683001 0.223858613316999 0.5 0.00950539011334896 0.0190012945736974 0.00476948382681075 0.000377104794773813 0.00729539788089964 33994773.392188 0.119647314625855 0.152310887739908 0.271958187137504 3399477.57780589 1.69465106905219 3.29311223276043
1 0.0298700970801702 0.388711028537574 0.0138665818566586 0.000380424042127216 0.0127359493042882 1.52169616850886 32.0609084004283 9426229.60261381 0.641576228487643 0.179211885756179 13.0133835017104 573770 1 0 0.799999999990265 0.100000000004868 1000 1e-08 1 560.398205779841 0.88525439365044 0.283675341477409 0.216324658522591 0.5 0.00969176199998599 0.019373249718365 0.00477043761936128 0.000380424042127216 0.00801522710010707 33785837.3087803 0.120952896746071 0.149333781035527 0.270286698470243 3378585.76531027 1.43170091182701 3.23717097349227
