as Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve maxG bigU thr
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.05 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.11 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.17 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.23 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.29 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.35 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.41 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.47 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.53 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.59 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.65 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.71 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.77 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.83 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
1 9410771.10842681 0.362432692192818 0.318783653903591 27.6915331248013 21278 1 0 0.400000000001071 0.299999999999464 500 1e-08 0.89 190.915647047712 19999983.1005127 0.0799999324020507 6000000.99998929
