"cost" "thr" "target.size" "ostensible.target.size" "theta" "h2" "Ne" "rho" "b" "gamma" "env.sd" "norm.prev"
"1" 0.282842712474619 7125 15000 1500000 0.01 0.5 2500 0.475 0.05 0.0500417292784913 12.2423411387431 0.000159310263520673
"2" 0.282842712474619 6281.25 15000 1500000 0.01 0.5 2500 0.41875 0.1625 0.163953436881145 12.1930414358798 0.000567813966418695
"3" 0.282842712474619 5437.5 15000 1500000 0.01 0.5 2500 0.3625 0.275 0.282264901368926 12.0888095922373 0.00101462290775578
"4" 0.282842712474619 4593.75 15000 1500000 0.01 0.5 2500 0.30625 0.3875 0.408854951600854 11.9233104530993 0.00149838618139009
"5" 0.163299316185545 3750 15000 1500000 0.01 0.5 2500 0.25 0.5 0.549306144334055 11.6848570378086 0.00202724963065148
"6" 0.282842712474619 2906.25 15000 1500000 0.01 0.5 2500 0.19375 0.6125 0.712912599938263 11.3522129918022 0.00261867936904203
"7" 0.282842712474619 2062.5 15000 1500000 0.01 0.5 2500 0.1375 0.725 0.918105615899444 10.8834932152461 0.0033086335045992
"8" 0.282842712474619 1218.75 15000 1500000 0.01 0.5 2500 0.08125 0.8375 1.2127416146586 10.1777996413278 0.00418756940288334
"9" 0.282842712474619 375 15000 1500000 0.01 0.5 2500 0.025 0.95 1.83178082306482 8.82004250651199 0.00566438345818665
"10" 0.163299316185545 23750 50000 5000000 0.01 0.5 2500 0.475 0.05 0.0500417292784913 22.3513546612103 0.000303619263714139
"11" 0.282842712474619 20937.5 50000 5000000 0.01 0.5 2500 0.41875 0.1625 0.163953436881145 22.2613461300884 0.00109188764632751
"12" 0.282842712474619 18125 50000 5000000 0.01 0.5 2500 0.3625 0.275 0.282264901368926 22.0710456901774 0.00196171326072303
"13" 0.282842712474619 15312.5 50000 5000000 0.01 0.5 2500 0.30625 0.3875 0.408854951600854 21.7688869843322 0.00290959138623381
"14" 0.282842712474619 12500 50000 5000000 0.01 0.5 2500 0.25 0.5 0.549306144334055 21.3335326027693 0.00395161558550416
"15" 0.163299316185545 9687.5 50000 5000000 0.01 0.5 2500 0.19375 0.6125 0.712912599938263 20.7262104440442 0.00512297114175153
"16" 0.282842712474619 6875 50000 5000000 0.01 0.5 2500 0.1375 0.725 0.918105615899444 19.870449128149 0.00649653999037714
"17" 0.282842712474619 4062.5 50000 5000000 0.01 0.5 2500 0.08125 0.8375 1.2127416146586 18.5820348310774 0.0082561831173692
"18" 0.282842712474619 1250 50000 5000000 0.01 0.5 2500 0.025 0.95 1.83178082306482 16.1031207965701 0.011234933373697
"19" 0.282842712474619 71250 150000 15000000 0.01 0.5 2500 0.475 0.05 0.0500417292784913 38.7136818912077 0.000548855836154605
"20" 0.163299316185545 62812.5 150000 15000000 0.01 0.5 2500 0.41875 0.1625 0.163953436881145 38.55778254219 0.00199356915578897
"21" 0.282842712474619 54375 150000 15000000 0.01 0.5 2500 0.3625 0.275 0.282264901368926 38.2281725115613 0.00360416978381051
"22" 0.282842712474619 45937.5 150000 15000000 0.01 0.5 2500 0.30625 0.3875 0.408854951600854 37.7048182810881 0.00537299306073002
"23" 0.282842712474619 37500 150000 15000000 0.01 0.5 2500 0.25 0.5 0.549306144334055 36.9507623729235 0.00733089696414557
"24" 0.282842712474619 29062.5 150000 15000000 0.01 0.5 2500 0.19375 0.6125 0.712912599938263 35.8988495374493 0.00954629051365308
"25" 0.163299316185545 20625 150000 15000000 0.01 0.5 2500 0.1375 0.725 0.918105615899444 34.4166274591667 0.0121615879898469
"26" 0.282842712474619 12187.5 150000 15000000 0.01 0.5 2500 0.08125 0.8375 1.2127416146586 32.1850284354407 0.0155370569310065
"27" 0.282842712474619 3750 150000 15000000 0.01 0.5 2500 0.025 0.95 1.83178082306482 27.8914233800784 0.0213099165310913
"28" 0.282842712474619 237500 500000 50000000 0.01 0.5 2500 0.475 0.05 0.0500417292784913 70.6811895196457 0.00105512943994823
"29" 0.282842712474619 209375 500000 50000000 0.01 0.5 2500 0.41875 0.1625 0.163953436881145 70.3965575524545 0.00388509393655201
"30" 0.163299316185545 181250 500000 50000000 0.01 0.5 2500 0.3625 0.275 0.282264901368926 69.7947747226035 0.00708703090449558
"31" 0.282842712474619 153125 500000 50000000 0.01 0.5 2500 0.30625 0.3875 0.408854951600854 68.8392649972838 0.0106451304373827
"32" 0.282842712474619 125000 500000 50000000 0.01 0.5 2500 0.25 0.5 0.549306144334055 67.462553562211 0.0146262927101981
"33" 0.282842712474619 96875 500000 50000000 0.01 0.5 2500 0.19375 0.6125 0.712912599938263 65.5420322671496 0.0191793745239749
"34" 0.282842712474619 68750 500000 50000000 0.01 0.5 2500 0.1375 0.725 0.918105615899444 62.8358773754578 0.0246153873687937
"35" 0.163299316185545 40625 500000 50000000 0.01 0.5 2500 0.08125 0.8375 1.2127416146586 58.7615536267868 0.0317238086174039
"36" 0.282842712474619 12500 500000 50000000 0.01 0.5 2500 0.025 0.95 1.83178082306482 50.9225391539864 0.0441130770514255
"37" 0.282842712474619 237500 500000 150000000 0.01 0.5 2500 0.475 0.05 0.0500417292784913 70.6811895196457 0.00192582931417684
"38" 0.282842712474619 209375 500000 150000000 0.01 0.5 2500 0.41875 0.1625 0.163953436881145 70.3965575524545 0.00720552705666977
"39" 0.282842712474619 181250 500000 150000000 0.01 0.5 2500 0.3625 0.275 0.282264901368926 69.7947747226035 0.0132912765594503
"40" 0.163299316185545 153125 500000 150000000 0.01 0.5 2500 0.30625 0.3875 0.408854951600854 68.8392649972838 0.0201612549698741
