"cost" "thr" "target.size" "theta" "h2" "Ne" "rho" "b" "gamma" "env.sd" "norm.prev"
"25" 0.447213595499958 20625 150000 0.004 0.5 1000 0.1375 0.725 0.918105615899444 21.7669864304921 0.0121615879898469
"26" 0.447213595499958 12187.5 150000 0.004 0.5 1000 0.08125 0.8375 1.2127416146586 20.3555992826556 0.0155370569310065
"27" 0.447213595499958 3750 150000 0.004 0.5 1000 0.025 0.95 1.83178082306482 17.640085013024 0.0213099165310913
"28" 0.447213595499958 237500 5e+05 0.004 0.5 1000 0.475 0.05 0.0500417292784913 44.7027093224206 0.00105512943994823
"29" 0.447213595499958 209375 5e+05 0.004 0.5 1000 0.41875 0.1625 0.163953436881145 44.5226922601769 0.00388509393655201
"30" 0.447213595499958 181250 5e+05 0.004 0.5 1000 0.3625 0.275 0.282264901368926 44.1420913803548 0.00708703090449558
"31" 0.447213595499958 153125 5e+05 0.004 0.5 1000 0.30625 0.3875 0.408854951600854 43.5377739686643 0.0106451304373827
"32" 0.447213595499958 125000 5e+05 0.004 0.5 1000 0.25 0.5 0.549306144334055 42.6670652055385 0.0146262927101981
"33" 0.447213595499958 96875 5e+05 0.004 0.5 1000 0.19375 0.6125 0.712912599938263 41.4524208880884 0.0191793745239749
"34" 0.447213595499958 68750 5e+05 0.004 0.5 1000 0.1375 0.725 0.918105615899444 39.740898256298 0.0246153873687937
"35" 0.447213595499958 40625 5e+05 0.004 0.5 1000 0.08125 0.8375 1.2127416146586 37.1640696621549 0.0317238086174039
"36" 0.447213595499958 12500 5e+05 0.004 0.5 1000 0.025 0.95 1.83178082306482 32.2062415931401 0.0441130770514255
"37" 0.447213595499958 712500 1500000 0.004 0.5 1000 0.475 0.05 0.0500417292784913 77.4273637824154 0.00192582931417684
"38" 0.447213595499958 628125 1500000 0.004 0.5 1000 0.41875 0.1625 0.163953436881145 77.11556508438 0.00720552705666977
"39" 0.447213595499958 543750 1500000 0.004 0.5 1000 0.3625 0.275 0.282264901368926 76.4563450231227 0.0132912765594503
"40" 0.447213595499958 459375 1500000 0.004 0.5 1000 0.30625 0.3875 0.408854951600854 75.4096365621763 0.0201612549698741
"41" 0.447213595499958 375000 1500000 0.004 0.5 1000 0.25 0.5 0.549306144334055 73.9015247458469 0.0279661102478094
"42" 0.447213595499958 290625 1500000 0.004 0.5 1000 0.19375 0.6125 0.712912599938263 71.7976990748986 0.0370352448559228
"43" 0.447213595499958 206250 1500000 0.004 0.5 1000 0.1375 0.725 0.918105615899444 68.8332549183335 0.0480574612928722
"44" 0.447213595499958 121875 1500000 0.004 0.5 1000 0.08125 0.8375 1.2127416146586 64.3700568708813 0.0627912486457735
"45" 0.447213595499958 37500 1500000 0.004 0.5 1000 0.025 0.95 1.83178082306482 55.7828467601568 0.0893842192778125
