rhot rhos thr C al Ne Ve as Ls Ll u prev.pred
0.25 0.257928259072235 77268.8911092593 0.447213595499958 22.3606797749979 1000 564.913821583884 1 149787 213 1e-06 0.00725100687493473
0.25 0.260549786213393 78017.7006152449 0.447213595499958 22.3606797749979 1000 571.47377215026 1 149717 283 1e-06 0.007224034055839
0.25 0.263173769768883 78766.5101212303 0.447213595499958 22.3606797749979 1000 578.228883459332 1 149647 353 1e-06 0.00719674198562269
0.25 0.265875290612937 79536.7141845299 0.447213595499958 22.3606797749979 1000 585.389969179742 1 149575 425 1e-06 0.00716833190985783
0.25 0.268504267797828 80285.5236905153 0.447213595499958 22.3606797749979 1000 592.568709827905 1 149505 495 1e-06 0.00714036469093379
0.25 0.271135711878171 81034.3331965009 0.447213595499958 22.3606797749979 1000 599.970794906368 1 149435 565 1e-06 0.00711204796090044
0.25 0.273769626327805 81783.1427024865 0.447213595499958 22.3606797749979 1000 607.606404724527 1 149364 636 1e-06 0.00708337120029444
0.25 0.276406014627095 82531.9522084721 0.447213595499958 22.3606797749979 1000 615.486195377969 1 149294 706 1e-06 0.00705432368968915
0.25 0.279044880262945 83280.7617144576 0.447213595499958 22.3606797749979 1000 623.621326717543 1 149224 776 1e-06 0.00702489444570584
0.25 0.281761730258474 84050.9657777571 0.447213595499958 22.3606797749979 1000 632.267605577858 1 149152 848 1e-06 0.00699422579969213
0.25 0.284405632086758 84799.7752837426 0.447213595499958 22.3606797749979 1000 640.957240535215 1 149082 918 1e-06 0.00696399561324712
0.25 0.250003726782447 250003.560113296 0.447213595499958 22.3606797749979 1000 1820.51928914004 1 499999 1 1e-06 0.0146262330119663
0.25 0.252617835503165 252499.591799914 0.447213595499958 22.3606797749979 1000 1849.53633214057 1 499765 235 1e-06 0.0145841531115464
0.25 0.255309184897704 255066.938677579 0.447213595499958 22.3606797749979 1000 1880.20725091197 1 499525 475 1e-06 0.0145399768911742
0.25 0.257928259072235 257562.970364198 0.447213595499958 22.3606797749979 1000 1910.85705699029 1 499291 709 1e-06 0.0144961405518175
0.25 0.260549786213393 260059.002050816 0.447213595499958 22.3606797749979 1000 1942.3557891954 1 499058 942 1e-06 0.0144514095062919
0.25 0.263173769768883 262555.033737434 0.447213595499958 22.3606797749979 1000 1974.73423496222 1 498824 1176 1e-06 0.0144057705602222
0.25 0.265875290612937 265122.3806151 0.447213595499958 22.3606797749979 1000 2008.98941639758 1 498584 1416 1e-06 0.0143578560999063
0.25 0.268504267797828 267618.412301718 0.447213595499958 22.3606797749979 1000 2043.25269317724 1 498350 1650 1e-06 0.0143103149608668
0.25 0.250003726782447 750010.680339887 0.447213595499958 22.3606797749979 1000 5461.58202145557 1 1499999 1 1e-06 0.0279660157046524
0.25 0.252617835503165 757498.775399743 0.447213595499958 22.3606797749979 1000 5565.69852817976 1 1499297 703 1e-06 0.0278986643536714
0.25 0.255309184897704 765200.816032737 0.447213595499958 22.3606797749979 1000 5675.53839598469 1 1498576 1424 1e-06 0.0278269468165321
